지형지물부호,관리번호,관리기관,행정구역,법정구역,법정동리,도로구간번호,공사번호,설치일자,정류장종류,정류장명,정류장유형,정류장고유번호,취득구분,취득금액,관리부서,내용연수,쉘터설치유무,설치유무(BIT),온열의자설치유무,비고,경도,위도
정류장,92022037,광주시,경안동,역동,,56, ,2016-10-01,공용,경기광주역,지붕유/표지판무, ,매입,0,대중교통과,0,,,0, ,127.2538773,37.39834632
정류장,92022036,광주시,경안동,역동,,160431, ,2016-10-01,공용,"경기광주역,경안천",지붕유/표지판무, ,매입,0,대중교통과,0,,,, ,127.2532317,37.39739984
정류장,92022035,광주시,곤지암읍,곤지암읍,,262355, ,2016-01-01,공용,곤지암역,지붕유/표지판무, ,매입,0,대중교통과,0,,,, ,127.3479308,37.34994642
정류장,92022034,광주시,곤지암읍,곤지암읍,,262355, ,2016-01-01,공용,곤지암역,지붕유/표지판무, ,매입,0,대중교통과,0,,,, ,127.3478336,37.35027343
정류장,92022033,광주시,오포읍,오포읍,,120993, ,2010-01-01,공용,오포초교 앞,지붕무/표지판유, ,매입,0,대중교통과,0,,,, ,127.2159602,37.35929811
정류장,92022032,광주시,오포읍,오포읍,,120993, ,2010-01-01,공용,오포초교 앞,지붕무/표지판유, ,매입,0,대중교통과,0,,,, ,127.2162293,37.35937767
정류장,92022030,광주시,오포읍,오포읍,,120645, ,2009-01-01,공용,시안공원묘원 정문,지붕무/표지판유, ,매입,0,대중교통과,0,,,, ,127.1919174,37.34824475
정류장,92022029,광주시,퇴촌면,퇴촌면,,360747, ,2012-01-01,공용,로얄파크,지붕무/표지판유, ,매입,0,대중교통과,0,,,, ,127.3286044,37.46107591
정류장,92022028,광주시,퇴촌면,퇴촌면,,360747, ,2012-01-01,공용,로얄파크,지붕유/표지판무, ,매입,0,대중교통과,0,,,, ,127.3286708,37.46117318
정류장,92022027,광주시,퇴촌면,퇴촌면,,360747, ,2012-01-01,공용,"관음2리,앙상떼",지붕유/표지판무, ,매입,0,대중교통과,0,,,, ,127.3308585,37.45913707
정류장,92022026,광주시,퇴촌면,퇴촌면,,360747, ,2012-01-01,공용,교회앞,지붕무/표지판무, ,매입,0,대중교통과,0,,,,현장에는 정류장이 없으나 BIS시스템 상에 존재하는 정류장,127.3341831,37.45607283
정류장,92022025,광주시,퇴촌면,퇴촌면,,361011, ,2012-01-01,공용,주목마을,지붕유/표지판유, ,매입,0,대중교통과,0,,,, ,127.3400727,37.45400816
정류장,92022024,광주시,퇴촌면,퇴촌면,,360747, ,2012-01-01,공용,"관음2리,앙상떼",지붕유/표지판무, ,매입,0,대중교통과,0,,,, ,127.3318257,37.45848633
정류장,92022023,광주시,퇴촌면,퇴촌면,,360747, ,2012-01-01,공용,교회앞,지붕유/표지판무, ,매입,0,대중교통과,0,,,, ,127.3343024,37.45617739
정류장,92022021,광주시,송정동,송정동,,748, ,2012-07-31,일반버스,경화여고,지붕무/표지판유, ,매입,0,대중교통과,0,,,, ,127.2615953,37.41544541
정류장,92022020,광주시,송정동,송정동,,748, ,2012-12-01,일반버스,경화여고,지붕유/표지판유, ,매입,0,대중교통과,0,,,, ,127.2619609,37.41530139
정류장,92022019,광주시,오포읍,오포읍,,100013, ,2013-06-01,공용,지엔지앞,지붕무/표지판유, ,매입,0,대중교통과,0,,,, ,127.1601386,37.36564549
정류장,92022018,광주시,오포읍,오포읍,,100013, ,2013-06-01,공용,그린공판장,지붕무/표지판유, ,매입,0,대중교통과,0,,,, ,127.1600444,37.36466227
정류장,92022015,광주시,오포읍,오포읍,,100013, ,2013-06-01,공용,현대모닝사이드2차입구,지붕무/표지판유, ,매입,0,대중교통과,0,,,, ,127.1611517,37.36686247
정류장,92022013,광주시,오포읍,오포읍,,100049, ,2013-06-01,공용,신현삼거리,지붕무/표지판유, ,매입,0,대중교통과,0,,,, ,127.1624185,37.36851987
정류장,92022012,광주시,오포읍,오포읍,,160031, ,2013-06-01,공용,신현3리 마을회관,지붕무/표지판유, ,매입,0,대중교통과,0,,,, ,127.1621265,37.37185087
정류장,92022011,광주시,오포읍,오포읍,,160637, ,2013-06-01,공용,느티나무앞,지붕무/표지판유, ,매입,0,대중교통과,0,,,, ,127.1621189,37.37311853
정류장,92022009,광주시,초월읍,초월읍,,240230, ,2012-10-31,공용,삼육재활센터,지붕무/표지판유, ,매입,0,대중교통과,10,,,, ,127.2884055,37.41842368
정류장,92022008,광주시,초월읍,초월읍,,240230, ,2012-10-31,공용,삼육재활센터,지붕무/표지판유, ,매입,0,대중교통과,10,,,, ,127.2886863,37.41834677
정류장,92022007,광주시,오포읍,오포읍,,120645, ,2012-07-13,공용,천지산업앞,지붕유/표지판유, ,매입,0,대중교통과,10,,,, ,127.1834947,37.34752299
정류장,92022002,광주시,오포읍,오포읍,오포읍 문형리,120645, ,1900-01-01,공용,영진맨션앞,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2073666,37.34146408
정류장,92022001,광주시,오포읍,오포읍,오포읍 문형리,120645, ,1900-01-01,공용,영진맨션앞,지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2074546,37.34165928
정류장,92021002,광주시,오포읍,오포읍,오포읍 문형리,120645, ,1900-01-01,공용,동림리입구,지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2009655,37.34015774
정류장,92021001,광주시,오포읍,오포읍,오포읍 문형리,120645, ,1900-01-01,공용,동림리입구,지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2004292,37.34026831
